"","muse.track","muse.artist","lyrics"
"871","Virgin Soil","Illnath","""Behold, he stands before you all Upon the tower, fit to fall See the beauty of the never-ending Hear his creatures call Say then, say then: Lay no eye upon my eye, lay no voice upon my crying Set no truth above my lie, she'd no tear upon my dying An orphan is your child to be And like you took my child from me The likes of this, my vengeance Have my hell bred creatures yet to see I've never known such naked pain As if I'm naked in the rain I've searched each world for virgin soil Fit for my slaughtered child's remains Say then, say then: For an eye you take an eye, take my voice for all your crying Upon your infants grave I lie, upon it's death I do my dying For his eye you take an eye, shattered was he when we found him Stone and cut and crucify, leave his killer's heart unpounding Men and angels hide in vain For he who hath my firstborn slain Shall die before the sun has set He took my child, he will regret Say then, say then: Lay no eye upon my eye, lay no voice upon my crying Set no truth above my lie, she'd no tear upon my dying Poised the strike in the slumberous sword Of the dark and childless lord ""This machete of mine will get thee in time We're alone in a room with no door"" Yes, I recall the death of one Older and more holy son I see the irony, but that won't render This one deed undone Say then, say then: For his eye you paid an eye, a law you find is self-fulfilling In your place your child did die Death is all you gain from killing"""
"872","Lambs to the Slaughter","Kreator","Most people take it they get pushed down Bared out of their minds just hanging around Make no decisions they out on a limb Labelled and numbered prospects are grim Yeah it's time to fight back Yeah it's time to attack Taken their pride is locked in room Lambs to the slaughter your turns comes soon Picked on and pushed they don't stand for their rights When they come to they just out lights"
"875","Summon the Spawn","Revocation","Driven into depths I stumble Infinite subterranean abyss All reality now crumbles Descending through endless black pits Pushing too far I hungered for knowledge Wanting oneness with entities numinous Punished for excess ambition Tormented by evil spirits numerous Tormented, still I push on Why did I seek this communion chthonic? Desire defying foreboding for death Septic specters invading my body and spawning A bane borne in my blood that is sapping my health Possessed by the spirits of the underworld Descend into madness as chaos unfurls Lust for power of the ancients was my crime Sentenced to eternal suffering for all time Wanting too much, greed gets inside Internalized sin, nowhere to hide Internal Nowhere to hide The horrors inside me, haranguing, push on Infection in my soul, all sanity is gone Why did I seek this communion chthonic? Desire defying foreboding for death Septic specters invading my body and spawning A bane borne in my blood that is sapping my health Possessed by the spirits of the underworld Descend into madness as chaos unfurls Lust for power of the ancients was my crime Sentenced to eternal suffering for all time Relentless, summon the Spawn Possessed by the spirits of the underworld Descend into madness as chaos unfurls Lust for power of the ancients was my crime Sentenced to eternal suffering for all time Pitch-black passage concluding, as the portal now approaches Red glow stings long-closed eyes, as light tendrils growing stronger Emerge in immense cavern where foul odors lurking loathsome And flesh melts from my frame! Skin cells functioning no longer Magma monstrosity looming before me Surging serpentine stream of still living flesh Occult curiosity will finally be satisfied What does eternity feel like, with no hope of death? Compelled by my captors I walk to the shore And madly fling myself into the burning waves Melted, fragmented, physicality splintered Yet each scattered cell to immortality enslaved"
"876","One Sided Love","Mandy Moore","Oh, oh, oh, oh I know you've tried your best But that's not good enough for me Understand, nevertheless Love's gotta go both ways Well you push me to the left then you push me to the right But you gotta meet in the middle If you wanna make this right But you gotta believe So here it is (Here it is, baby, here it is) I wanna help you out Tell you what it's all about What I feel, what I need How it's gonna be So what you wanna do What you really wanna do 'Cause I've decided everything I want from you One sided love Is never gonna work So let me tell you something That I'm sure you never heard of Tender love and care In case you're unaware So, I'll tell you what Let me tell you where it's at Hit me with your best shot I'm giving you a second chance But you gotta understand If you don't know how to love me I will find someone who can So read my lips for the last time I tell you now with no regret If you don't get your act together Even your name i will forget But you gotta believe So here it is (Here it is, baby, here it is) I wanna help you out Tell you what it's all about What I feel, what I need How it's gonna be So what you wanna do What you really wanna do 'Cause I decide everything that I want from you One sided love Is never gonna work So let me tell you something That I'm sure you never heard of Tender love and care In case you're unaware So, I'll tell you what Let me tell you where it's at Hit me with your best shot Oh, oh, oh Ohh Hit me with your best shot Hit me with your best shot Hit me with your best shot One sided love One sided love Is never gonna work So let me tell you something That I'm sure you never heard of Tender love and care In case you're unaware So, I'll tell you what Let me tell you where it's at Oh, baby One sided love Is never gonna work So let me tell you something That I'm sure you never heard of Tender love and care In case you're unaware So, I'll tell you what Let me tell you where it's at Hit me with your best shot"
"878","My Vile Venom","Tamtrum","Why'd I spit my vile venom If nobody cares Why'd I laugh knowing that If tomorrow will be a day of tears Why'd I cry knowing that One day will be the last one I wish god could lend me his favorite lover The time of a sweet juicy kiss She's the one named La Grande Mort If his cum is running my body It's just to let me rotten by You the almighty, that which created that You must be really vicious To make this game where pain and pleasure Have some sex together You the almighty, the one who spit that cum Not surprising for a bloody vicious world To have a father like you Don't believe in love No, I don't believe in this fuckin' joke Don't believe in love No, I don't believe in this fuckin' perverted freaky world No, I don't believe in this fuckin' perverted freaky world No, I don't believe in this fuckin' perverted freaky world No, I don't believe in this fuckin' perverted freaky world"
"880","Beat Around The Bush","Endo","Don't beat around the bush Bringin' me closer, to here Taking me farther, than near Insecure love fit, commands Shovin' my face, in the sand, go Stick it in 'em, I stick it in 'em, I make 'em feel Lettin' 'em know that this life is for real Stick it in 'em, I stick it in 'em, I make 'em see The choices that drive our disease, yeah Don't beat around the bush Bringin' me closer, to here Taking me farther, than near Insecure love fit, commands Shovin' my face, in the sand, go Can't you see, man, you're fucking up the program You've got the score, maybe you've got the hand, huh Lost your grip, now you're lying on your back Lost your head caught smokin' crack, crack, crack, crack It's all you wanted, it's all you needed Don't, don't, don't, don't beat, don't beat, don't beat, don't beat, don't beat, don't beat, don't beat around the bush, yeah Don't beat around the bush (x2) Beat around it, don't, beat around the bush (x4) Dare, motherfucker!"
"882","Activate!","Atari Teenage Riot","If they would tear your world apart, would you intervene? Music is a weapon Sounds like a threat Let the bass terrorize There's no turning back! Hey! Activate! Hey! Hey! Activate! Hey! Hey! Activate! Hey! Hey! Are you ready? Countdown to the meltdown ATR, take them out 99, 2010 makes you wanna forget Open your mind, put it in your head Consultation The situation will escalate Tell me what you want Cause anyway you do This is far from over Don't let them play you Show you the .. slow down Don't listen .. save you .. Don't listen .. try to discuss Activate Activate Activate Let's go Government control Too much government control Government control Activate .. burn it up .. collect it up.. the base of you .. Clack it tax .. what you're gonna do .. Activate Activate Activate Let's go Activate Activate Activate Let's go"
"884","Malum","Diary of Dreams","Träge, müde schleppst Du Dich Durch karges Land, das Dich zerbricht Vor Dir liegt ein weiter Weg Den Du zu oft gegangen bist Keiner Keiner Keiner verweilt Nun fragst Du Dich Warum für mich? Warum nur ich? Im Schatten lebt Dein wahres Ich Der Zweifel wohnt in Dir Dein Atmen schwach und kalt vom Licht Matt und dünn Dein Blick"
"885","Top Shelf","Outerspace","Outerspace, nigga! I'mma beat your asses Warchild, Planetary I came, to take the world by storm Transform every word, put my life in the song It don't really matter if it's right or it's wrong You gon' feel what we do when the mic's turned on Gonna, surrender your life, we ready to fight Like King Syze spit heavy on mics, any of hype is over Street's cobra, free souljah, in to take the streets over We told you, nigga, don't ever disrespect our click Get found in the ditch, with your son and ya bitch Cause I'm expected by fame, we proven murderers Top shelf verbalists with words I spit It's simple, instrumentals get scared to hear me I can nose write though, I got potential clearly I'm from Philladel, the place where the streets is watching And getting your ass whooped is the only option Get up! Throw your hands in the air or shut up Me and your atmosphere, yo what up? Something for the DJ to scratch, you're caught up Babygrande is the label that pays me Just any beat ain't gonna amaze me All to my days be, you grind up Let me find out yo that we're twins Maybe there's a equal of space 90 miles seperate Philly from the atmo Who clam they came, it must be how they Snapple Or work whole day, make the X go Everytime I'mma hit you, I just go I'm a radical, just medical, I'm a terror Flat bring hot weather, ya get to that? Anyone deal with that, gon' bust Three balls in my area, I'm gon' pop When this world gonna find my whole proton ??? Barried under ??? but it still the kill Fronting any other ??? was a threat, better yet They raised up my statue, at least once I'mma catch you Other times it might be another by the rhyme If that's the case, man it's going outerspace I came, to take the world away Long time anticipated so the world awakes Strong arm affiliated, watch what you say To a fifth executioners, East PA Play game off the chain, that's the least to say Spit flames off the brain, cause we don't play Keep my dawgs 'profaso', we don't stray If the cooking to ya numb heads, we don't lay Put rocks in this bitch, from NY to Philly Told the block when it rained, I'd like to keep it filthiest War, hell is out not even the beast can kill me Starving artist on the mic, only a feast can fill me OS reigns supreme, and y'all can hate on it Your dudes ain't crunk, if you can't stay on it Your beats still not, if you can't break on it And the track ain't played unless you put Space on it"
"887","Ruin Your Life","Abandoned Pools","Time to give it up No one needs this any day Your life's a half-filled cup You'd never drink from anyway Well I say And if you want me to I'd love to ruin your life There's nothing else to do Start a new ruin your life Ruin your life Time to light the fuse And let your whole world come undone Chaos soon ensues Blow it all to kingdom come Nice one And if you want me to I'd love to ruin your life There's nothing else to do Start a new, ruin your life Ruin your life Ruin your life Say goodbye Day after day you never ever crack a smile You know it's easier to die It's up to you And if you want me to I'd love to ruin your life There's nothing else to do Start a new, ruin your life And if you want me to I'd love to ruin your life There's nothing else to do Start a new, ruin your life Ruin your life Ruin your life Ruin your life"
"888","Transhuman","Cyanotic","An intervention of collective conscience Cultivating the anomalies Alterating in depth perception Expanding upon reality Improving enhancing pervading progress Retracting codes of morality A flawless unit of inherent perfection Correcting the faults of humanity Our elements become one Endorse the transition No lack of comprehending Specifics of the philosophy Attributions of human error In contrast with proficiency"
"891","Commitment To Complications","Youth Code","Soaked in superstitions Prayers doused in black and set ablaze A piss gold sky opened up for the storm A birthing of a union of malaise In gutters lined with spit I lay in wait Gnawing at the thrill of finding home Entrapment of a passion led by fate A scorched and lust lorn path forever roamed [Pre Chorus} This sickness, ageless torment Fuel my appetence for endless conquest A consistent yearning for the taste of the catch The wolf waits patient for the perfect attack Commitment to complications A lecherous boiling plot, a binding glue The cries of demise muffled deep beneath the claws God is fictitious, heaven is you Entrenched in salvation A torment welcomed warm with fascination A palette refined in torture's design The sickly sweet of chasing domination [Pre Chorus} This sickness, ageless torment Fuel my appetence for endless conquest A consistent yearning for the taste of the catch The wolf waits patient for the perfect attack Commitment to complications A leacherous boiling plot, a binding glue The cries of demise muffled deep beneath the claws God is fictitious, heaven is you Systematic deceptions A feral comprehension of creation Poised for this entangled affair of selfless indulgence Destroy the tame nature of calculation Sink deep inside this alpha stage This delusion of satisfaction"
"892","Suizid","Agonoize","In meinen Gedanken bin ich schon längst tot Ein gequälter Geist befreit aus seiner Not Schon 1000-mal hab ich daran gedacht Ob es leichter wär, hätt ich mich umgebracht Dass es feige ist, ist mir doch selbst klar In meinem Kopf spielt sich schon durch, was noch nicht war Von Angst übermannt auf dem Weg zur Endlichkeit Als die Klinge sanft meine Pulsschlagader streift Suizid, Suizid Zieh mich feige zurück Vom Leben erdrückt Suizid, Suizid Zu schwach für diese Welt Es gibt nichts, was mich noch hält Suizid, Suizid ... ja Suizid, Suizid Tiefdunkles Schwarz umnächtigt meinen Geist Wie die Lebenskraft aus meinem Körper weicht In Panik versuch ich mich noch hoch zu ziehn Will ein letztes Mal in Demut niederknien Verdammt, ich glaub, ich bin noch nicht so weit Hält das Leben denn gar nichts mehr bereit? Dem Ende so nah ist nicht der Weg mehr das Ziel Der letzte Atemhauch verstärkt die Zweifel in mir Suizid, Suizid Zieh mich feige zurück Vom Leben erdrückt Suizid, Suizid Erlöst von der Qual Es ist meine eigene Wahl! Suizid, Suizid ... ja Suizid, Suizid Gib mir noch Zeit Ich bin noch nicht bereit Ich komme nicht mehr klar Es ist nichts mehr wie es mal war"
"893","Decent Cancer","Ashbury Heights","There's a plague that goes on and on It's lethal in size and it hurts like a thorn in my side It's renowned far and wide as the name of our downfall The name that will bury us all It's a God among gods It's a cancer within It's the father of sin and of love and desire and jealousy It's the sum of all parts and we call it the human heart It doesn't know how I take my coffee It doesn't care how I play my part It doesn't care about truth or lies And it never gives any good advice It doesn't care if I'm suicidal No consideration for my precious hind Doesn't give a damn if I stand or fall And it's got a beat that says it all Still it's a decent cancer That's keeping me alive Eating me alive There's a kindred of flames A secret society of one A spawn of the sun that burns like a candle behind my eyes A searing light from which I cannot run It's a thing of beauty and flesh and of stone Like a castle A throne Where kings and queens were crowned to rot It's the heart of it all and it's the only heart we've got It doesn't know how I take my coffee It doesn't care how I play my part It doesn't care about truth or lies And it never gives any good advice It doesn't care if I'm suicidal No consideration for my precious hind Doesn't give a damn if I stand or fall And it's got a beat that says it all Still it's a decent cancer That's keeping me alive Eating me alive"
"894","Disbeliever","Hatesphere","Covered in skin Covered in sin It's all about reaching out And then begin, then begin To feel the shadows coming in It knows how to feed me And beat me It knows how, how to treat me And beat me Kept in a cage Enrage Looking through the bars The stars glitter in the night Glitters so bright It knows how to feed me And beat me It knows how, how to treat me And beat me I broke the bars but saw no stars I peeled my skin but felt no sin I'm reaching in, but can't come out Only doubt... I wonder where I wonder why I wonder how to reach the sky It's just a lie"
"896","Retrogression","Lock Up","Holding back - unconnected Lapsing in a hole Intermission - never ending Castigate this void Cage this retrogression The gates of change Disturbing self confessions Powerless rage Plummeting hate trivia Pumping through my veins Dispassionate envy Sharpens the blade Cage this retrogression The gates of change Declining optimism Desire deranged"
"897","Slave to Misery","Sadus","Skilled victims play their games A cause of violence for fortune and fame Like all possessed they worship it all Money loving mercenary risks it all Why can't you see the intensity The high that was not to be With no decline it works every time Until we had enough we'll see You can't get enough of the fucking stuff The rotting of the brains a game Time after time With the loss of a mind You're crying out insanity You can't afford to be As fucking dumb as you seem You know the price you can't pay You steal from one to repay The debts of bets, you should die... Die... Slave to misery Causing suffering Anything causing pain Experiencing agony Torment, torture I don't want to see you suffer Slave to misery Causing suffering"
"898","last Human","Uberbyte","We are the dead they said, yeah, we were born to lose They cauterised our conscience in the name of your truth In this construct, we are mere fractions Frustration builds corrupted bios The wheels turn infernal engines Dissect your living heart A bullet in your mind, murder the lie Open up your eyes This is the day, the place, the hour We set the world on fire Lost in the monochrome as self fades away Atrocity walks free at the end of all days There is no hope but what we can make The last human to stand against fate Oil and lust The future looming above your pallid face A bullet in your mind, murder the lie Open up your eyes This is the day, the place, the hour We set the world on fire"
"899","Glenn's Song","Nuclear Assault","You held my heart in your own hand when we first met I can't believe I ever loved you Then I learned what you had done with my whole life I can't believe I ever loved you Now watch me go on my own way I didn't ever think to stop and wonder why All those times you couldn't meet me I never wanted to be the other man But that is just what you have made me Now watch me go on my own way I don't think we'll meet another day You tried to sind your hooks in me After I thought I was over you Could it be the shattered memories of my dreams I can't deny I ever loved you But even blind men can see with their own hearts When betrayal opens their eyes Now match me go on my own way I don't think we will meet again"
"901","I Hate My Generation","Cracker","I hate my generation I offer no apologies I hate my generation yeah I hate my generation I picked it up and threw it away I hate my generation now It's all right All right All right All right It's all right All right All right All right I hate my generation Now that I said it I feel liberated I hate my generation yeah I hate my generation I offer no apologies I hate my generation yeah It's all right All right All right All right It's all right All right All right I hate my I hate my I hate my I hate my I hate my I hate my I hate my I hate my generation"
"902","Young Boys","Lords of Acid","Young boys, charming and innocent Adolescent fun My toys, spectral virginity I wanna watch them come Hey boys, I'm a candy bar A tidbit for your tongue Those boys with your chastity I wanna be your very first one Young boys, dressed up in leather I wanna make 'em shine Come down to my special route Number sixty-nine My boy, shock me and thrill me You know what I desire You're hot, nasty and spicy You'll have to quench my fire Young boys, I want you to be my toys I'm begging you please Young boys, I'm down on my knees Young boys, I'll take you to heaven Boys Young boys, soft and so kissable I'm waiting for their touch They're rough, that's why I like them I wanna taste their fudge Horny boys, youthful and healthy Lovegun never stops They come, it's unbelievable Squeeze you till you drop Young boys, I want you to be my toys I'm begging you please Young boys, I'm down on my knees Young boys, I'll take you to heaven Boys Young boys, part of a family It's me that you can trust Right now, give me physically A boy to dim my lust Their dads don't like it They want me to themselves Sweet boys, tasty and horny I'll peel away their shell Young boys, I want you to be my toys I'm begging you please Young boys, I'm down on my knees Young boys, I'll take you to heaven Boys I want you to be my toys I'm begging you please I'm down on my knees I'll take you to heaven"
"903","Luxury Tax","Rick Ross","E-Class, I think we got a problem Yeah, big money in this bitch, if you didn't knew Big business, minus the business suit Even I look in the mirror, like ""Is it you?"" Then I say ""I must be the hottest if it isn't you"" Stay fresh, from my top to my tennis shoes New coupe, no top, big tennis shoes Never slippin', even on the side of a swimming pool We don't get ridiculed, we get rid of fools They said I couldn't play football, I was too small They said I couldn't play basketball, I wasn't tall They said I couldn't play baseball at all And now every day of my life, I ball And they say you ain't great until someone assassinate And I feel like MLK Yeah, ""I Have a Dream"" to be your worst nightmare Now meet The Boss of The Cartel, Ross I'm a sinner, not Satan Sittin' on Lorenzos and I seem really patient Picture the equation People takin' pictures and they really gettin' flagrant Flaggin' down my spaceship, sergeant sniffin' for a fragrance Yayo! Yayo! He wanna sniff the yayo Flyin' saucer on the hasa, in the casa just to lay low Make more money man, that's the motto for the mob Need a blow-job, my motto, get a model for the job Go hard, no job, hustler, no prob Post up, nigga what? Finger-fuck your whole squad Forty round extend-o, flip it for my kinfolk Luxury tax on them packs, if you didn't know Bought a new crib, niggas feelin' like I hid 3.2, but I did it for the kids More guns than a pawnshop Got my whole arm rocked Keep the 760 double-parked in the wrong spot Still hustlin', boss Yeah, you gotta pay for this I remember when I used to pray for this This, this is classic, some shit you might not see again And we taxin', you don't want it, nigga, leave it then And we taxin', you don't want it, nigga, leave it then And we ain't tryna see the Pen Like a needle in a haystack, we ain't tryna see the 'pin' This is a luxury tax Yeah, imagine this, no, imagine that Gave me my sack, like ""Good luck getting back"" I'm like, ""The fuck I'm gon' hide it at?"" And if I'm not careful, be the same place they find it at And I'm a winner, if I make it across the finish line Puttin' food on the table like it's dinner time And this is what you call stereotyping by far Can you tell me my your dog keep sniffin' my car? Got the audacity to call me a liar So what you got in your trunk? Oh, just a spare tire You niggas talked blow, while I sold mine Like a bad cramp, it's lockin' up in no time More time in the kitchen than I spent in the studio ""Gangsta's Paradise"", and I ain't talkin' 'bout Coolio Can't lie, still addicted to the odour Got a ice cold Pepsi, still thinkin' Coca-Cola Yeah, you gotta pay for this I remember when I used to pray for this This, this is classic, some shit you might not see again And we taxin', you don't want it, nigga, leave it then And we taxin', you don't want it, nigga, leave it then And we ain't tryna see the Pen Like a needle in a haystack, we ain't tryna see the 'pin' This is a luxury tax I'm up early in the morning and I'm dressed in black Hold on, every morning I get dressed in black While y'all half-ass, nigga my pants saggin' I'm gettin' money and my swag, black-flaggin' Million dollar status, fully automatic Heavy on the Henny, even harder on the women If it wasn't for Reverend, I'd probably be pimpin' and shit Pops, my papi, is already in me I tried trappin', shit sent me to prison Got mad and went to snappin', so homicide came to visit I smell gun powder, so you got one hour To come up with every damn dollar; or you're done, dollar It costs to ball, dog Especially when the players on your team consider you as the ball hog You treat me like Shaq, and you Kobe But I ain't say you owe me, nigga But act like you know me, nigga Yeah, you gotta pay for this I remember when I used to pray for this This, this is classic, some shit you might not see again And we taxin', you don't want it, nigga, leave it then And we taxin', you don't want it, nigga, leave it then And we ain't tryna see the Pen Like a needle in a haystack, we ain't tryna see the 'pin' This is a luxury tax"
"904","Sick little Bitch","Nurzery [Rhymes]","Your skin, so divine Your flesh feels so fine Your blood tastes so sweet My lust, runs so deep Your skin, so divine Your flesh feels so fine Your blood tastes so sweet My lust runs so deep Sick little bitch I see you cry Sick little bitch Today, you're gonna die Sick little bitch I see you cry Sick little bitch Today, you're gonna die Sick little bitch Sick little bitch Die Sick little bitch I see you cry Sick little bitch Today, you're gonna die Sick little bitch I see you cry Sick little bitch Today, you're gonna die Sick little bitch Sick little bitch"
"905","Flight on Broken Wings","Eyes Set to Kill","We can't escape this hollow ride Painted black to calm our fears As walls and ceilings collapse over us Feel the chill throughout our breaths As thunder awakens our chests These wings we ride failed us These wings we ride, they failed us We fall from midnight skies We pray on search lights to save us As the rain pours down Weight shifts, the storm hits Pulls on damaged wings Weight shifts, the storm hits Pulls on damaged wings I need this, this flight on broken wings I will, I'll fly again I need this, this flight on broken wings I will, I'll fly again We fall from midnight skies As the rain pours down We fall from midnight skies As the rain pours down These wings we ride, they failed us We pray on search lights to save us Leave me here, oh, to rust, until we rust Freeze me 'til I love you 'til you leave Love me, into dust, sunken slowly Place your hand in mine, on these broken wings Broken wings, on these broken wings On these broken wings, on these broken wings On these broken wings, on these broken wings On these broken wings, on these broken wings Broken wings Don't end this dear The apocalypse So spread your wings, and fly So spread your wings, and fly So spread your wings, and fly"
"908","Impulso Biomecanico","Amduscia","Tù que esperas desòllame Ya no quiero ser humano Implantar toda la fuerza Solo quiero ser una màquina de guerra Destrucción al crear al biomecànico Mi creación perfección hacia el humano Información en circuitos que limitan Y ahora que tu ya lo ves, sera que tu ya me crees Tu que esperas desòllame Ya no quiero ser humano infectado Implantar toda la fuerza Solo quiero ser una màquina de guerra Destrucción, hacia el humano Destrucción, tecnologia acabando al humano"
"909","Our Disease","Breakbeat Era","Now that you suffer from our disease Will you understand me Affravate the tension Get the beat to feel the heat Night after night I don't stop till dawn Night after night I can do no wrong Night after night I fill it to the top Night after night and never spill a drop Day after day I take it to extremes Day adter day mutilate my dreams Time after time I play it one two three Time after time mirror turned on me You pay the price, I'll never know"
"910","Blowin'","B'z","ボロボロにKOされる夢を見て君にしがみついた いつもシャドウボクシング 汗まみれ 蜘蛛の巣をふり払うように 負けるのは怖くない ちょっと逃げ腰になる日が来ることに怯えてるけど Blowin', blowin' in the wind 風に揺れる心を抱えたまま We're dancin' in the reservation しびれるような眼差しをずっと忘れないで Blowin', blowin' in the wind ウワキな街で君の足もとに転がる We're dancin' to the stimulation はかない夢にどうか つまずかないように 繰り返しなんかぜんぜんない暮らしをしてるはずだぜ ハニー なのに 今日もあの娘 喫茶店で「毎日同じよ」とボヤきまくり 危ないね 気がつけば 僕も君も麻痺状態 わかりあえるはずもない Blowin', blowin' in the wind 風に揺れる心を抱えたまま We're dancin' in the reservation しびれるような眼差しをずっと忘れないで 風を受けて立ち上がろうとする君は美しい かたちのない答えを探して 終わらない旅をする Blowin', blowin' in the wind 風に揺れる心を抱えたまま We're dancin' in the reservation しびれるような眼差しをずっと忘れないで Blowin', blowin' in the wind ウワキな街で君の足もとに転がる We're dancin' to the stimulation はかない夢にどうかつまずかないように"
"911","Power Company","Eric Burdon","My daddy worked a lifetime, yeah For the Power Company Turning night into day, yeah Yeah, for the Power Company You know that he can still recall when the company was God Man was a slave Throughout a war-torn strife My daddy held his lit electric light Power Company They told him: 'join the union, lad, or we'll kick you in the ass' Power Company I grew up with these words printed on my back Power Company Whoa, oh, oh, oh¦Power Company Whoa, oh, oh, oh¦when will you be free? I worked like a dog all day on the production line This factory is a jail, every day of your life you know You're doing time Now I got a little car And I can't afford the gas The house is cold and draughty And the kids grow up too fast I walk around, no future, no past Power Company Whoa, oh, oh, oh¦Power Company Whoa, oh, oh, oh¦when will you be free? How this world keeps on turning every day is a mystery My old man gets up each morning And he goes to work each day at the Power Company Yeah, he still does his little job and it isn't very hard A computer to talk to instead of people he once knew And the bosses at the top They never seem to stop Power Company And we're singin' Whoa, oh, oh, oh¦Power Company Whoa, oh, oh, oh¦when will you be free? Whoa, oh, oh, oh¦Power Company Whoa, oh, oh, oh¦when will you be free? Yeah, when will you be free from the Power Company? (Power Company) Whoa, oh, oh, oh, when will you be free? (Power Company) Ask yourself a question and look around you (Power Company) You ask yourself a truth that you'll find out (Power Company) And you'll never be free (from the Power Company) Yeah, move your head (Power Company) Move your soul"
"913","Anthem 2","Jakalope","Uh-oh, did you slip? Oh no, lost your grip Oh, just go with it Don't be a secret You were born for this Be contagious Be elated The next reigner Be a believer You were born for this No such thing as mistaken Just learn from what you're takin' And oh be your own strength Your own destination When you stand on belief Tower over defeat Stand up you were born for this No such thing as mistaken (this if life for the taking) Just learn from what you're takin' And oh be your own strength (It's yours if you make it) Your own destination When you stand on belief (So go on and take it) Tower over defeat Stand up you were born for this You were born for this You were born for this You were born for this You were born for this You were born for this You were born for this You were born for this You were born for this"
"914","Set 'Em Straight","Eric B. & Rakim","I came to set 'em straight, and let 'em know Whoever's holdin' the best, just let him go 'Cause here's the inside scoop on the fiend They wanna know why I'm seldom seen 'Cause who needs the TV screens and magazines Or shootin' through the city in fly limousines There's one thing I don't like, it's the spotlight 'Cause I already got light They be like, yo, we had a get together last week And we know everyone was there except the Black Sheep Because my schedule is tight, I gotta write I'm deep in the archives, and keeping 'em hyped It's been a long time, since you heard a strong rhyme None of these are weak so when you bite on mine We can trace the hits and then name that style MCs'll be out of a job for a while I re-posess your identification So, hand in your application Put your mic on strike until you're unemployed Contract is up and I'm stampin' it void Your selection ain't this selective So I'ma put you in your proper perspective On the dance-floor, and doin' the shake Ready to let 'em brake, set 'em straight Somebody said I set 'em up and pulled the plug on 'em But instead, I let 'em go on so I could bug on 'em Go 'head and flow, 'cause I close the show Swing a song for the ladies and rhyme real slow For instance, once I commence The crowd is convinced So now you know who to put your money on Hurry up, before your money's gone 'Cause I'm the most common denominator Orchestrate a rhyme much greater I'm like a world almanac, so tell the media Givin' 'em information like encyclopedia So bring a dictionary so you can look it up So you know what I mean, when I hook it up No misconceptions although I complicate But this concept'll set em straight They even said that I was locked in jail So now I guess I'm out on bail? The only island I was on was the Strong one And if I did my bid, it'll be a long one 'Cause if I sold weight, I'd be Upstate In the penile, waitin' for a break 'Cause sellin' drugs is for handicaps I got too many skills besides bustin' rough raps If I go to jail, it won't be for sellin' keys It'll be for murderin' MC's The beat'll take over your heart, then I start To cut 'em in half, 'cause rhymes are razor sharp Secure the exits, all MC's remain 'Cause we got a crowd to entertain And I know, when I go, I'll flow dangerous Brains'll bust, what you trying to explain to us? You got lost, and couldn't go on Came up short, so here's one to grow on Elevate off a high IQ In time, you'll find I'm true 'Cause once I start on a piece of art From sun to moon and light to dark, I build the Ark Now you can float off the rhymes I wrote I'm sure that we'll hit shore without a boat You could bring a battleship and still get shipwrecked Attacked with a torpedo, what did you expect? Driftin' up the creek, without a beat or a paddle Castaway on a raft and stand fragile Rescue your crowd, which ain't a hard job Me and my knowledge put together, I'm a lifeguard Dealin' with actual facts and solar fact Here and now, but I go so far back To bring you up to date, so we can elevate It's no time to wait or anticipate 'Cause I'm never late, I'm gonna motivate So I can let 'em break, and set 'em straight"
"916","Parasitic Scriptures Of The Sacred Word","Goatwhore","From the great hand of holocaust Great winds expose the structure of an emptied core Hollowed thoughts of this vision, this existence turned inside out Impassive vessel of confined hatred Deviated catalyst that will reconstruct The embedded image of the damned, after all is gone Behold the secret to annihilate Wormholes fading into regions of death Unexplained disease that will flood the misfortune of might Rebirth in this apex of collapse Defiled idols fall in the ages of decay Expanding force that consumes, destroying all positive intent Force of this tragic stride, hell's unforgiving arms Vortex of merciless decay, untouched by any theory Suicides from the heavens, sink into the eye of terror A mound of bodies lie in wrath, reaching the hereafter Reflection of self denied, the demon that eats the soul Sunken eyes of fear, a path of forgotten pain The lifeblood of treason, tasting this bitter steel Sacrament of disaster, wounds that never heal This venom of revenge, the judas of black skies Untouched by divine means, as this earth slowly dies Machine of destruction, satan's unholy ways Burning fire of inquisition, a demise of this grace An art of sacrosanct lust, this rite of virgin's blood Disguised by confusion, summoning of the demon legion The kindred of this ruin, awaiting the fall of this order Diminish into madness of complete death, this sufficient hunger"
